User Id,Name,Screen Name,Created At,Followers,Following,Favorites,Tweets,Lists,Language,Bio,Location,URL,Timezone,UTC Offset,Verified
377609596,Eric Swalwell,ericswalwell,Wed Sep 21 21:00:22 +0000 2011,95846,4287,3591,6294,1567,,"Dad | Husband | Presidential Candidate who is ready to go big, be bold, and do good to create a better future for YOU and for America.","East Bay, California",https://t.co/Kkj8u2CNKR,,,1
892491627088011264,Max Rose,MaxRose4NY,Tue Aug 01 21:06:00 +0000 2017,21191,392,405,2113,287,,"The proud Congressman for #NY11. Staten Islander, veteran, and massive fan of Pitch Perfect.",Staten Island,https://t.co/jjm4mgJmYG,,,1
1262017122,Abby Finkenauer,Abby4Iowa,Tue Mar 12 13:51:32 +0000 2013,22003,518,1661,2369,362,,Congresswoman from Iowa’s 1st Congressional District #ia01 Former State Rep for IA House District 99. Paid for by Finkenauer For Congress.,"Dubuque, IA",https://t.co/E9Q9RBGkg1,,,1
36764306,Libby Casey,libcasey,Thu Apr 30 20:33:51 +0000 2009,7901,7209,5889,6719,291,,"On-air video reporter of politics + accountability at The Washington Post. Listener, storyteller. Former Alaska reporter. DC, AK, NY, PA","Washington, DC",https://t.co/0jf6WvyCWY,,,1
15976705,Amy Siskind 🏳️‍🌈,Amy_Siskind,Mon Aug 25 02:52:25 +0000 2008,362438,298,48093,56486,3865,,"Activist, feminist, author. The Weekly List website, podcast https://t.co/tMr9QbCrKm & book THE LIST. POLITICO 50. President @TheNewAgenda. Fmr Wall St exec.",New York,https://t.co/rSgrr8d7ky,,,1
18208368,Kurt Bardella,kurtbardella,Thu Dec 18 04:02:37 +0000 2008,22055,3328,27944,48661,317,,"Creator/Writer #countrymusic email @MorningHangover ...@USAToday @NBCNewsTHINK Contributor, fmr @GOPOversight Spokesperson...Read @OurDailyPlanet","Arlington, VA",https://t.co/RcPNm8FLpb,,,1
17513304,Erik Paulsen,ErikPaulsen,Thu Nov 20 15:28:22 +0000 2008,20025,3106,53,5592,1191,,,Minnesota,https://t.co/7IDoW8Ah9W,,,1
892807102917464064,Amber Gustafson,AmberForIowa,Wed Aug 02 17:59:35 +0000 2017,2173,579,8375,4516,31,,Sm Biz Owner - Farm Kid - Yogi - Political Junkie - SciFi Fan @ISU_GSJC '99 @drakeuniversity '21 Fmr: IA Chapter Leader @MomsDemandAction & IA SD19 Candidate,"Ankeny, IA",,,,1
121597316,San Francisco Chronicle,sfchronicle,Wed Mar 10 00:44:07 +0000 2010,175585,223,2656,109482,3132,,"The Voice of the West, home to the Bay Area’s best journalism.","San Francisco, CA",https://t.co/CV0gqM16Hp,,,1
18993395,ABC7 News,abc7newsbayarea,Wed Jan 14 20:20:22 +0000 2009,541309,25125,4559,335393,4828,,"#1 source for breaking news, weather, and sports in the Bay Area. Share photos, vids and tips by tagging tweets #abc7now. You may see them here or on ABC7 News!",San Francisco Bay Area,http://t.co/2kLV4sehau,,,1
